"text","happy","sad","anger","anxiety"
"Bugün sabah uyandığımda içimde sakin bir mutluluk hissettim ve günün geri kalanını daha umutlu geçirdim.","1","0","0","0"
"Bugün sabah uyandığımda içimde sakin bir mutluluk hissettim ve küçük şeylerden bile zevk almaya başladım.","1","0","0","0"
"Bugün sabah uyandığımda içimde sakin bir mutluluk hissettim ve yaptığım işlere daha istekli yaklaştım.","1","0","0","0"
"Bugün sabah uyandığımda içimde sakin bir mutluluk hissettim ve içimde uzun süredir olmayan bir huzur vardı.","1","0","0","0"
"Bugün sabah uyandığımda içimde sakin bir mutluluk hissettim ve kendimi gerçekten iyi ve dengeli hissettim.","1","0","0","0"
"Bugün sabah uyandığımda kendimi oldukça enerjik ve keyifli hissettim, bu yüzden günün geri kalanını daha umutlu geçirdim.","1","0","0","0"
"Bugün sabah uyandığımda kendimi oldukça enerjik ve keyifli hissettim, bu yüzden küçük şeylerden bile zevk almaya başladım.","1","0","0","0"
"Bugün sabah uyandığımda kendimi oldukça enerjik ve keyifli hissettim, bu yüzden yaptığım işlere daha istekli yaklaştım.","1","0","0","0"
"Bugün sabah uyandığımda kendimi oldukça enerjik ve keyifli hissettim, bu yüzden içimde uzun süredir olmayan bir huzur vardı.","1","0","0","0"
"Bugün sabah uyandığımda kendimi oldukça enerjik ve keyifli hissettim, bu yüzden kendimi gerçekten iyi ve dengeli hissettim.","1","0","0","0"
"Bugün sabah uyandığımda moralim belirgin şekilde yükseldi ve günün geri kalanını daha umutlu geçirdim.","1","0","0","0"
"Bugün sabah uyandığımda moralim belirgin şekilde yükseldi ve küçük şeylerden bile zevk almaya başladım.","1","0","0","0"
"Bugün sabah uyandığımda moralim belirgin şekilde yükseldi ve yaptığım işlere daha istekli yaklaştım.","1","0","0","0"
"Bugün sabah uyandığımda moralim belirgin şekilde yükseldi ve içimde uzun süredir olmayan bir huzur vardı.","1","0","0","0"
"Bugün sabah uyandığımda moralim belirgin şekilde yükseldi ve kendimi gerçekten iyi ve dengeli hissettim.","1","0","0","0"
"Bugün sabah uyandığımda her şey daha aydınlık görünmeye başladı, bu yüzden günün geri kalanını daha umutlu geçirdim.","1","0","0","0"
"Bugün sabah uyandığımda her şey daha aydınlık görünmeye başladı, bu yüzden küçük şeylerden bile zevk almaya başladım.","1","0","0","0"
"Bugün sabah uyandığımda her şey daha aydınlık görünmeye başladı, bu yüzden yaptığım işlere daha istekli yaklaştım.","1","0","0","0"
"Bugün sabah uyandığımda her şey daha aydınlık görünmeye başladı, bu yüzden içimde uzun süredir olmayan bir huzur vardı.","1","0","0","0"
"Bugün sabah uyandığımda her şey daha aydınlık görünmeye başladı, bu yüzden kendimi gerçekten iyi ve dengeli hissettim.","1","0","0","0"
"Bugün sabah uyandığımda yüzümde doğal bir gülümseme oluştu ve günün geri kalanını daha umutlu geçirdim.","1","0","0","0"
"Bugün sabah uyandığımda yüzümde doğal bir gülümseme oluştu ve küçük şeylerden bile zevk almaya başladım.","1","0","0","0"
"Bugün sabah uyandığımda yüzümde doğal bir gülümseme oluştu ve yaptığım işlere daha istekli yaklaştım.","1","0","0","0"
"Bugün sabah uyandığımda yüzümde doğal bir gülümseme oluştu ve içimde uzun süredir olmayan bir huzur vardı.","1","0","0","0"
"Bugün sabah uyandığımda yüzümde doğal bir gülümseme oluştu ve kendimi gerçekten iyi ve dengeli hissettim.","1","0","0","0"
"Gün içinde içimde sakin bir mutluluk hissettim ve günün geri kalanını daha umutlu geçirdim.","1","0","0","0"
"Gün içinde içimde sakin bir mutluluk hissettim ve küçük şeylerden bile zevk almaya başladım.","1","0","0","0"
"Gün içinde içimde sakin bir mutluluk hissettim ve yaptığım işlere daha istekli yaklaştım.","1","0","0","0"
"Gün içinde içimde sakin bir mutluluk hissettim ve içimde uzun süredir olmayan bir huzur vardı.","1","0","0","0"
"Gün içinde içimde sakin bir mutluluk hissettim ve kendimi gerçekten iyi ve dengeli hissettim.","1","0","0","0"
"Gün içinde kendimi oldukça enerjik ve keyifli hissettim, bu yüzden günün geri kalanını daha umutlu geçirdim.","1","0","0","0"
"Gün içinde kendimi oldukça enerjik ve keyifli hissettim, bu yüzden küçük şeylerden bile zevk almaya başladım.","1","0","0","0"
"Gün içinde kendimi oldukça enerjik ve keyifli hissettim, bu yüzden yaptığım işlere daha istekli yaklaştım.","1","0","0","0"
"Gün içinde kendimi oldukça enerjik ve keyifli hissettim, bu yüzden içimde uzun süredir olmayan bir huzur vardı.","1","0","0","0"
"Gün içinde kendimi oldukça enerjik ve keyifli hissettim, bu yüzden kendimi gerçekten iyi ve dengeli hissettim.","1","0","0","0"
"Gün içinde moralim belirgin şekilde yükseldi ve günün geri kalanını daha umutlu geçirdim.","1","0","0","0"
"Gün içinde moralim belirgin şekilde yükseldi ve küçük şeylerden bile zevk almaya başladım.","1","0","0","0"
"Gün içinde moralim belirgin şekilde yükseldi ve yaptığım işlere daha istekli yaklaştım.","1","0","0","0"
"Gün içinde moralim belirgin şekilde yükseldi ve içimde uzun süredir olmayan bir huzur vardı.","1","0","0","0"
"Gün içinde moralim belirgin şekilde yükseldi ve kendimi gerçekten iyi ve dengeli hissettim.","1","0","0","0"
"Gün içinde her şey daha aydınlık görünmeye başladı, bu yüzden günün geri kalanını daha umutlu geçirdim.","1","0","0","0"
"Gün içinde her şey daha aydınlık görünmeye başladı, bu yüzden küçük şeylerden bile zevk almaya başladım.","1","0","0","0"
